Identifier 1,Corr d13C,Corr d15N
Protein_std,-26.9080575,5.8491422
Sorghumflour_std,-13.6381398,1.7288822
Peachleaves_std,-25.979635,1.7537954
BG2023_1808_COMP_mill_TOP,-24.3596632,-1.1533834
BG2023_1808_COMP_mill_MID,-23.1200937,-0.3743668
BG2023_1808_COMP_mill_BTM,-23.6661065,0.118148
BG2023_320_COMP_mill_TOP,-26.0438718,0.6154538
BG2023_320_COMP_mill_MID,-28.0211608,0.6327014
BG2023_320_COMP_mill_BTM,-28.428663,0.923036
BG2023_1633_COMP_mill_TOP,-17.1751786,-0.5343862
BG2023_1633_COMP_mill_MID,-17.7081433,-0.3092092
BG2023_1633_COMP_mill_BTM,-17.5626068,0.022328
BG2023_1631_COMP_mill_TOP,-25.7166656,0.2724182
BG2023_1631_COMP_mill_MID,-25.0411755,0.1191062
BG2023_1631_COMP_mill_BTM,-27.0776828,0.2206754
BG2023_1637_COMP_mill_TOP,-24.2241637,-0.887962
BG2023_1637_COMP_mill_MID,-22.1635676,-0.3916144
BG2023_1637_COMP_mill_BTM,-26.0448755,0.0338264
BG2023_1669_COMP_mill_TOP,-25.0873457,-0.7097368
BG2023_1669_COMP_mill_MID,-26.0057312,-0.4261096
BG2023_1669_COMP_mill_BTM,-26.4594036,-0.2977108
Protein_std,-26.9702869,5.7485312
Sorghumflour_std,-13.5989955,1.5803612
Peachleaves_std,-26.1582936,1.7739176
Protein_std,-26.9840032,6.0988752
Sorghumflour_std,-13.685432,1.8253696
Peachleaves_std,-25.8428,2.1291824
BG2023_272_COMP_mill_TOP,-27.106416,2.2403568
BG2023_272_COMP_mill_MID,-27.7490832,0.9867696
BG2023_272_COMP_mill_BTM,-28.7323344,1.740072
BG2023_365_COMP_mill_TOP,-16.7714192,-0.1891872
BG2023_365_COMP_mill_MID,-20.062744,-0.0022992
BG2023_365_COMP_mill_BTM,-19.4190896,0.340808
BG2023_1841_COMP_mill_TOP,-21.4379136,-0.2112304
BG2023_1841_COMP_mill_MID,-21.558352,-0.5514624
BG2023_1841_COMP_mill_BTM,-22.9384576,-0.3319888
BG2023_5026_COMP_mill_TOP,-20.0390512,0.1769216
BG2023_5026_COMP_mill_MID,-21.143728,0.8890128
BG2023_5026_COMP_mill_BTM,-20.5395616,0.7787968
BG2023_1847_COMP_mill_TOP,-18.0162784,-0.5150432
BG2023_1847_COMP_mill_MID,-16.9866288,-0.6913888
BG2023_1847_COMP_mill_BTM,-16.113944,0.2986384
BG2023_349_COMP_mill_TOP,-15.7358464,4.687152
BG2023_349_COMP_mill_MID,-15.3004912,4.3795056
BG2023_349_COMP_mill_BTM,-16.8188048,4.4389264
Protein_std,-26.9099632,5.7519344
Sorghumflour_std,-13.6735856,1.6001456
Peachleaves_std,-26.1281008,1.7141952
BG2023_1945_COMP_mill_TOP,-16.3824624,-0.2332736
BG2023_1945_COMP_mill_MID,-16.2215488,0.2363424
BG2023_1945_COMP_mill_BTM,-17.2057872,0.077248
BG2023_98_COMP_mill_TOP,-21.1772928,0.283304
BG2023_98_COMP_mill_MID,-22.0302336,1.0279808
BG2023_98_COMP_mill_BTM,-20.1742976,1.7994928
BG2023_303_COMP_mill_TOP,-20.3371856,1.107528
BG2023_303_COMP_mill_MID,-19.9186128,-0.0885552
BG2023_303_COMP_mill_BTM,-20.6728336,0.2564688
BG2023_5040_COMP_mill_TOP,-23.631472,-0.143184
BG2023_5040_COMP_mill_MID,-25.5871152,0.4289808
BG2023_5040_COMP_mill_BTM,-26.1656144,0.4692336
BG2023_57_COMP_mill_TOP,-20.3500192,0.05808
BG2023_57_COMP_mill_MID,-20.0953216,0.2718032
