Identifier 1,Peak Nr,d 13C/12C,d 15N/14N,Corr d13C,Corr d15N,,,,,,ID,d13C Meas,d13C exp,d15Nmeas,d15N exp
Protein_std,4,-25.495,5.221,-26.8315475,6.1293293,,,,,,Protein Std 1,-25.495,-26.98,5.221,5.94
Sorghumflour_std,4,-12.277,0.651,-13.6069385,2.0012483,,,,,,Protein Std 2,-25.487,-26.98,4.893,5.94
Peachleaves_std,4,-24.841,0.616,-26.1772205,1.9696328,,,,,,Protein Std 3,-25.506,-26.98,4.883,5.94
BG2023_1514_COMP_mill_TOP,4,-21.979,-4.049,-23.3137895,-2.2442617,,,,,,Sorghum Std 1,-12.277,-13.68,0.651,1.58
BG2023_1514_COMP_mill_MID,4,-18.954,-4.409,-20.287277,-2.5694497,,,,,,Sorghum Std 2,-12.293,-13.68,0.382,1.58
BG2023_1514_COMP_mill_BTM,4,-22.028,-2.274,-23.362814,-0.6409042,,,,,,Sorghum Std 3,-12.457,-13.68,0.241,1.58
BG2023_147_COMP_mill_TOP,4,-24.379,-2.428,-25.7149895,-0.7800124,,,,,,Peach Leaf Std 1,-24.841,-25.95,0.616,2.04
BG2023_147_COMP_mill_MID,4,-25.294,-2.259,-26.630447,-0.6273547,,,,,,Peach Leaf Std 2,-24.763,-25.95,0.371,2.04
BG2023_147_COMP_mill_BTM,4,-25.534,-1.097,-26.870567,0.4222799,,,,,,Peach Leaf Std 3,-24.705,-25.95,0.411,2.04
BG2023_156_COMP_mill_TOP,4,-21.426,-2.013,-22.760513,-0.4051429,,,,,,,,,,
BG2023_156_COMP_mill_MID,4,-20.991,-2.116,-22.3252955,-0.4981828,,,,,,,,,,
BG2023_156_COMP_mill_BTM,4,-24.791,-1.197,-26.1271955,0.3319499,,,,,,,,,,
BG2023_5616_COMP_mill_TOP,4,-17.512,-2.526,-18.844556,-0.8685358,,,,,,,,,,
BG2023_5616_COMP_mill_MID,4,-18.229,-3.377,-19.5619145,-1.6372441,,,,,,,,,,
BG2023_5616_COMP_mill_BTM,4,-18.012,-1.699,-19.344806,-0.1215067,,,,,,,,,,
BG2023_143_COMP_mill_TOP,4,-26.088,-2.254,-27.424844,-0.6228382,,,,,,,,,,
BG2023_143_COMP_mill_MID,4,-26.281,-1.986,-27.6179405,-0.3807538,,,,,,,,,,
BG2023_143_COMP_mill_BTM,4,-26.606,-1.695,-27.943103,-0.1178935,,,,,,,,,,
BG2023_31_COMP_mill_TOP,4,-20.864,-1.891,-22.198232,-0.2949403,,,,,,,,,,
BG2023_31_COMP_mill_MID,4,-19.324,-1.336,-20.657462,0.2063912,,,,,,,,,,
BG2023_31_COMP_mill_BTM,4,-25.041,-1.03,-26.3773205,0.482801,,,,,,,,,,
Protein_std,4,-25.487,4.893,-26.8235435,5.8330469,,,,,,,,,,
Sorghumflour_std,4,-12.293,0.382,-13.6229465,1.7582606,,,,,,,,,,
Peachleaves_std,4,-24.763,0.371,-26.0991815,1.7483243,,,,,,,,,,
BG2023_285_COMP_mill_TOP,4,-26.556,-2.518,-27.893078,-0.8613094,,,,,,,,,,
BG2023_285_COMP_mill_MID,4,-26.798,-2.424,-28.135199,-0.7763992,,,,,,,,,,
BG2023_285_COMP_mill_BTM,4,-27.734,-1.975,-29.071667,-0.3708175,,,,,,,,,,
BG2023_1842_COMP_mill_TOP,4,-21.129,-2.638,-22.4633645,-0.9697054,,,,,,,,,,
BG2023_1842_COMP_mill_MID,4,-21.977,-2.669,-23.3117885,-0.9977077,,,,,,,,,,
BG2023_1842_COMP_mill_BTM,4,-23.177,-1.739,-24.5123885,-0.1576387,,,,,,,,,,
BG2023_287_COMP_mill_TOP,4,-22.415,-0.248,-23.7500075,1.1891816,,,,,,,,,,
BG2023_287_COMP_mill_MID,4,-21.111,1.686,-22.4453555,2.9361638,,,,,,,,,,
BG2023_287_COMP_mill_BTM,4,-25.577,0.792,-26.9135885,2.1286136,,,,,,,,,,
BG2023_1654_COMP_mill_TOP,4,-15.734,-2.972,-17.065667,-1.2714076,,,,,,,,,,
BG2023_1654_COMP_mill_MID,4,-16.945,-2.777,-18.2772725,-1.0952641,,,,,,,,,,
BG2023_1654_COMP_mill_BTM,4,-15.879,-2.383,-17.2107395,-0.7393639,,,,,,,,,,
BG2023_1946_COMP_mill_TOP,4,-25.389,-2.285,-26.7254945,-0.6508405,,,,,,,,,,
BG2023_1946_COMP_mill_MID,4,-25.404,-1.557,-26.740502,0.0067619,,,,,,,,,,
BG2023_1946_COMP_mill_BTM,4,-26.112,-2.109,-27.448856,-0.4918597,,,,,,,,,,
BG2023_76_COMP_mill_TOP,4,-26.567,-0.645,-27.9040835,0.8305715,,,,,,,,,,
BG2023_76_COMP_mill_MID,4,-25.951,-1.972,-27.2877755,-0.3681076,,,,,,,,,,
BG2023_76_COMP_mill_BTM,4,-26.896,-0.591,-28.233248,0.8793497,,,,,,,,,,
Protein_std,4,-25.506,4.883,-26.842553,5.8240139,,,,,,,,,,
Sorghumflour_std,4,-12.457,0.241,-13.7870285,1.6308953,,,,,,,,,,
Peachleaves_std,4,-24.705,0.411,-26.0411525,1.7844563,,,,,,,,,,
