Identifier 1,Peak Nr,d 13C/12C,d 15N/14N,Corr d13C,Corr d15N,,,,,,ID,d13C Meas,d13C exp,d15Nmeas,d15N exp
Protein_std,4,-25.597,5.462,-27.0498775,6.1830426,,,,,,Protein Std 1,-25.597,-26.98,5.462,5.94
Sorghumflour_std,4,-12.4,0.821,-13.7539,2.0418783,,,,,,Protein Std 2,-25.607,-26.98,4.943,5.94
Peachleaves_std,4,-24.475,1.124,-25.9194625,2.3122452,,,,,,Protein Std 3,-25.54,-26.98,5.043,5.94
BG2023_1_SCAM_composite_TOP_coarse,4,-27.843,0.96,-29.3127225,2.165908,,,,,,Sorghum Std 1,-12.4,-13.68,0.821,1.58
BG2023_1_SCAM_composite_MID_coarse,4,-28.075,0.897,-29.5464625,2.1096931,,,,,,Sorghum Std 2,-12.409,-13.68,0.345,1.58
BG2023_1_SCAM_composite_BTM_coarse,4,-27.654,0.968,-29.122305,2.1730464,,,,,,Sorghum Std 3,-12.189,-13.68,0.292,1.58
BG2023_1837_SCAM_composite_TOP_coarse,4,-26.347,0.163,-27.8055025,1.4547449,,,,,,Peach Leaf Std 1,-24.475,-25.95,1.124,2.04
BG2023_1837_SCAM_composite_MID_coarse,4,-26.559,-0.332,-28.0190925,1.0130564,,,,,,Peach Leaf Std 2,-24.388,-25.95,0.562,2.04
BG2023_1837_SCAM_composite_BTM_coarse,4,-26.095,0.001,-27.5516125,1.3101923,,,,,,Peach Leaf Std 3,-24.472,-25.95,0.344,2.04
BG2023_237_SCAM_composite_TOP_coarse,4,-27.344,-0.927,-28.80998,0.4821379,,,,,,,,,,
BG2023_237_SCAM_composite_MID_coarse,4,-27.183,-0.576,-28.6477725,0.7953352,,,,,,,,,,
BG2023_237_SCAM_composite_BTM_coarse,4,-27.097,-0.268,-28.5611275,1.0701636,,,,,,,,,,
BG2023_1677_SCAM_composite_TOP_coarse,4,-25.597,-1.98,-27.0498775,-0.457454,,,,,,,,,,
BG2023_1677_SCAM_composite_MID_coarse,4,-25.534,-1.87,-26.986405,-0.359301,,,,,,,,,,
BG2023_1677_SCAM_composite_BTM_coarse,4,-25.833,-1.765,-27.2876475,-0.2656095,,,,,,,,,,
BG2023_110_SPPA_root_TOP_coarse,4,-19.499,-1.371,-20.9061425,0.0859567,,,,,,,,,,
BG2023_110_SPPA_rhiz_TOP_coarse,4,-12.461,-1.84,-13.8153575,-0.332532,,,,,,,,,,
BG2023_110_SPPA_stem_TOP_coarse,4,-13.046,-0.899,-14.404745,0.5071223,,,,,,,,,,
BG2023_110_SPPA_root_MID_coarse,4,-13.437,-0.264,-14.7986775,1.0737328,,,,,,,,,,
BG2023_110_SPPA_rhiz_MID_coarse,4,-12.562,-0.179,-13.917115,1.1495783,,,,,,,,,,
BG2023_110_SPPA_root_BTM_coarse,4,-16.517,0.126,-17.9017775,1.4217298,,,,,,,,,,
Protein_std,4,-25.607,4.943,-27.0599525,5.7199389,,,,,,,,,,
Sorghumflour_std,4,-12.409,0.345,-13.7629675,1.6171435,,,,,,,,,,
Peachleaves_std,4,-24.388,0.562,-25.83181,1.8107726,,,,,,,,,,
BG2023_110_SPPA_rhiz_BTM_coarse,4,-12.548,-0.99,-13.90301,0.425923,,,,,,,,,,
BG2023_1866_SCAM_root_TOP_coarse,4,-26.245,-0.554,-27.7027375,0.8149658,,,,,,,,,,
BG2023_1866_SCAM_rhiz_TOP_coarse,4,-26.126,-0.777,-27.582845,0.6159829,,,,,,,,,,
BG2023_1866_SCAM_stem_TOP_coarse,4,-25.661,-0.793,-27.1143575,0.6017061,,,,,,,,,,
BG2023_1866_SCAM_root_MID_coarse,4,-26.001,-0.344,-27.4569075,1.0023488,,,,,,,,,,
BG2023_1866_SCAM_rhiz_MID_coarse,4,-25.88,-0.775,-27.335,0.6177675,,,,,,,,,,
BG2023_1866_SCAM_root_BTM_coarse,4,-26.257,-0.361,-27.7148275,0.9871797,,,,,,,,,,
BG2023_252_SCAM_root_TOP_coarse,4,-27.313,1.439,-28.7787475,2.5933197,,,,,,,,,,
BG2023_252_SCAM_rhiz_TOP_coarse,4,-27.206,0.859,-28.670945,2.0757857,,,,,,,,,,
BG2023_252_SCAM_stem_TOP_coarse,4,-26.762,-0.269,-28.223615,1.0692713,,,,,,,,,,
BG2023_252_SCAM_root_MID_coarse,4,-26.962,0.098,-28.425115,1.3967454,,,,,,,,,,
BG2023_252_SCAM_rhiz_MID_coarse,4,-27.102,-0.536,-28.566165,0.8310272,,,,,,,,,,
BG2023_252_SCAM_stem_MID_coarse,4,-27.28,-1.342,-28.7455,0.1118334,,,,,,,,,,
BG2023_252_SCAM_root_BTM_coarse,4,-27.222,0.638,-28.687065,1.8785874,,,,,,,,,,
BG2023_252_SCAM_rhiz_BTM_coarse,4,-27.728,0.697,-29.19686,1.9312331,,,,,,,,,,
BG2023_244_SCAM_root_TOP_coarse,4,-27.829,0.461,-29.2986175,1.7206503,,,,,,,,,,
BG2023_244_SCAM_rhiz_TOP_coarse,4,-27.967,0.548,-29.4376525,1.7982804,,,,,,,,,,
BG2023_244_SCAM_stem_TOP_coarse,4,-27.532,-0.989,-28.99939,0.4268153,,,,,,,,,,
Protein_std,4,-25.54,5.043,-26.99245,5.8091689,,,,,,,,,,
Sorghumflour_std,4,-12.189,0.292,-13.5413175,1.5698516,,,,,,,,,,
Peachleaves_std,4,-24.472,0.344,-25.91644,1.6162512,,,,,,,,,,
